Linking,Asset Tag,Asset Description,Asset Type,Condition,Asset Type Description,Site,Location,Transact As Whole,Department Code,Checked Out,Serial No,Hyperlink,Manufacturer,Model,Check Out Length,Check Out Lead Time,Depreciation Class,Category,Vendor Number,Purchase Date,Purchase Cost,Salvage Value,Depreciation Begin Date,Last Depreciation Date,Total Depreciation,Current Depreciation,Book Value,Depreciate Asset,Purchase Order,Begin,End,Provider,Last Audit Date,Due Date,Customer No.,Customer Name,Employee No.,Employee Name
  Not Linked,40148,Keyboard (PC),Keyboard, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40149,Boom Microphone E,Microphone, ,"Shure, Boom, Mic Stands, Wired/wirless Lavalier, 634-A, Rhode,",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40150,Headphones,Audio, ,"Headphones, Audio samples, Music Library",Media Supply,Big Rapids,T, ,,,, ,,0   days 4  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40151,Headphones,Audio, ,"Headphones, Audio samples, Music Library",Media Supply,Big Rapids,T, ,,,, ,,0   days 4  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40153,Doc Light Kit C (Full),Lights,Fine,"Black Bag, Case lighst, Fresnel, Day-lights, Field-Pro lights",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40154,AVID Keyboard,Keyboard, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40155,XLR,Cables,Excellent,"Chords, Extension Cables, Power Strips etc.",Media Supply,Big Rapids,T, ,Y,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,1298,Keneth Riegert,,
  Not Linked,40156,Senior Liight Kit C (Full),Lights,Good,"Black Bag, Case lighst, Fresnel, Day-lights, Field-Pro lights",Media Supply,Big Rapids,T, ,Y,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,1449,Max Dimas,,
  Not Linked,40157,Documentary Light Kit (FULL SET),Lights, ,"Black Bag, Case lighst, Fresnel, Day-lights, Field-Pro lights",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40158,Rode Wireless Lav,Microphone,Excellent,"Shure, Boom, Mic Stands, Wired/wirless Lavalier, 634-A, Rhode,",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40159,XLR,Cables,Excellent,"Chords, Extension Cables, Power Strips etc.",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40160,no description,Lights, ,"Black Bag, Case lighst, Fresnel, Day-lights, Field-Pro lights",Media Supply,Big Rapids,T, ,Y,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,9,Nick Kuiper,,
  Not Linked,40241,Sony Lithium Battery Oct 2020,Battery,Excellent,"AA, AAA, DC, Battery Brick, DSLR, etc.",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40245,Sony Power Cord NXCam,Cables,Excellent,"Chords, Extension Cables, Power Strips etc.",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
